time (s),x,y,z
0.0,0.0,0.0,0.0
0.013333333333333332,0.0006852326227130629,0.0006852326227130629,0.0006852326227130629
0.026666666666666665,0.0027390523158633312,0.0027390523158633312,0.0027390523158633312
0.04,0.0061558297024311365,0.0061558297024311365,0.0061558297024311365
0.05333333333333333,0.010926199633097178,0.010926199633097178,0.010926199633097178
0.06666666666666667,0.01703708685546585,0.01703708685546585,0.01703708685546585
0.08,0.024471741852423214,0.024471741852423214,0.024471741852423214
0.09333333333333334,0.03320978675139913,0.03320978675139913,0.03320978675139913
0.10666666666666666,0.043227271178699546,0.043227271178699546,0.043227271178699546
0.12,0.05449673790581606,0.05449673790581606,0.05449673790581606
0.13333333333333333,0.06698729810778066,0.06698729810778066,0.06698729810778066
0.14666666666666667,0.08066471602728797,0.08066471602728797,0.08066471602728797
0.16,0.09549150281252627,0.09549150281252627,0.09549150281252627
0.17333333333333334,0.11142701927151458,0.11142701927151458,0.11142701927151458
0.18666666666666668,0.12842758726130288,0.12842758726130288,0.12842758726130288
0.2,0.14644660940672624,0.14644660940672624,0.14644660940672624
0.21333333333333332,0.16543469682057085,0.16543469682057085,0.16543469682057085
0.22666666666666668,0.18533980447508122,0.18533980447508122,0.18533980447508122
0.24,0.2061073738537634,0.2061073738537634,0.2061073738537634
0.2533333333333333,0.22768048249248646,0.22768048249248646,0.22768048249248646
0.26666666666666666,0.24999999999999994,0.24999999999999994,0.24999999999999994
0.28,0.2730047501302265,0.2730047501302265,0.2730047501302265
0.29333333333333333,0.29663167846209976,0.29663167846209976,0.29663167846209976
0.30666666666666664,0.32081602522734987,0.32081602522734987,0.32081602522734987
0.32,0.3454915028125263,0.3454915028125263,0.3454915028125263
0.3333333333333333,0.37059047744873963,0.37059047744873963,0.37059047744873963
0.3466666666666667,0.3960441545911204,0.3960441545911204,0.3960441545911204
0.36,0.4217827674798846,0.4217827674798846,0.4217827674798846
0.37333333333333335,0.4477357683661733,0.4477357683661733,0.4477357683661733
0.3866666666666667,0.47383202187852796,0.47383202187852796,0.47383202187852796
0.4,0.5000000000000001,0.5000000000000001,0.5000000000000001
0.41333333333333333,0.5261679781214719,0.5261679781214719,0.5261679781214719
0.42666666666666664,0.5522642316338265,0.5522642316338265,0.5522642316338265
0.43999999999999995,0.5782172325201156,0.5782172325201156,0.5782172325201156
0.45333333333333337,0.6039558454088795,0.6039558454088795,0.6039558454088795
0.4666666666666667,0.6294095225512604,0.6294095225512604,0.6294095225512604
0.48,0.6545084971874737,0.6545084971874737,0.6545084971874737
0.49333333333333335,0.6791839747726502,0.6791839747726502,0.6791839747726502
0.5066666666666666,0.7033683215379,0.7033683215379,0.7033683215379
0.52,0.7269952498697734,0.7269952498697734,0.7269952498697734
0.5333333333333333,0.7499999999999999,0.7499999999999999,0.7499999999999999
0.5466666666666666,0.7723195175075136,0.7723195175075136,0.7723195175075136
0.56,0.7938926261462365,0.7938926261462365,0.7938926261462365
0.5733333333333334,0.8146601955249185,0.8146601955249185,0.8146601955249185
0.5866666666666667,0.834565303179429,0.834565303179429,0.834565303179429
0.6,0.8535533905932737,0.8535533905932737,0.8535533905932737
0.6133333333333333,0.8715724127386971,0.8715724127386971,0.8715724127386971
0.6266666666666666,0.8885729807284855,0.8885729807284855,0.8885729807284855
0.64,0.9045084971874736,0.9045084971874736,0.9045084971874736
0.6533333333333333,0.919335283972712,0.919335283972712,0.919335283972712
0.6666666666666666,0.9330127018922194,0.9330127018922194,0.9330127018922194
0.68,0.9455032620941839,0.9455032620941839,0.9455032620941839
0.6933333333333334,0.9567727288213006,0.9567727288213006,0.9567727288213006
0.7066666666666667,0.9667902132486007,0.9667902132486007,0.9667902132486007
0.72,0.9755282581475768,0.9755282581475768,0.9755282581475768
0.7333333333333334,0.9829629131445341,0.9829629131445341,0.9829629131445341
0.7466666666666667,0.9890738003669027,0.9890738003669027,0.9890738003669027
0.76,0.9938441702975689,0.9938441702975689,0.9938441702975689
0.7733333333333334,0.9972609476841365,0.9972609476841365,0.9972609476841365
0.7866666666666666,0.9993147673772869,0.9993147673772869,0.9993147673772869
0.8,1.0,1.0,1.0
0.8133333333333332,0.9993147673772869,0.9993147673772869,0.9993147673772869
0.8266666666666667,0.9972609476841365,0.9972609476841365,0.9972609476841365
0.8400000000000001,0.9938441702975689,0.9938441702975689,0.9938441702975689
0.8533333333333333,0.989073800366903,0.989073800366903,0.989073800366903
0.8666666666666667,0.9829629131445343,0.9829629131445343,0.9829629131445343
0.8799999999999999,0.9755282581475766,0.9755282581475766,0.9755282581475766
0.8933333333333333,0.9667902132486009,0.9667902132486009,0.9667902132486009
0.9066666666666667,0.9567727288213006,0.9567727288213006,0.9567727288213006
0.9199999999999999,0.945503262094184,0.945503262094184,0.945503262094184
0.9333333333333333,0.9330127018922194,0.9330127018922194,0.9330127018922194
0.9466666666666667,0.919335283972712,0.919335283972712,0.919335283972712
0.96,0.9045084971874738,0.9045084971874738,0.9045084971874738
0.9733333333333333,0.8885729807284855,0.8885729807284855,0.8885729807284855
